id,detailCode,duration,endTime,eventDescription,eventDetails,eventNumber,firstName,gameId,hexValue,lastName,period,playerId,shiftNumber,startTime,teamAbbrev,teamId,teamName,typeCode
13680374,0,00:31,08:06,,,1191094,Alex,2023020573,#B9975B,Pietrangelo,2,8474565,13,07:35,VGK,54,Vegas Golden Knights,517
13680375,0,01:37,11:20,,,1191113,Alex,2023020573,#B9975B,Pietrangelo,2,8474565,14,09:43,VGK,54,Vegas Golden Knights,517
13680432,0,01:56,15:32,,,1191150,Alex,2023020573,#B9975B,Pietrangelo,2,8474565,15,13:36,VGK,54,Vegas Golden Knights,517
13680433,0,01:37,18:16,,,1191176,Alex,2023020573,#B9975B,Pietrangelo,2,8474565,16,16:39,VGK,54,Vegas Golden Knights,517
13680503,0,00:48,00:48,,,1191263,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,17,00:00,VGK,54,Vegas Golden Knights,517
13680504,0,00:48,02:10,,,1191275,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,18,01:22,VGK,54,Vegas Golden Knights,517
13680537,0,00:48,04:35,,,1191304,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,19,03:47,VGK,54,Vegas Golden Knights,517
13680538,0,01:10,07:19,,,1191383,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,20,06:09,VGK,54,Vegas Golden Knights,517
13680539,0,01:28,11:04,,,1191419,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,21,09:36,VGK,54,Vegas Golden Knights,517
13680632,0,00:50,13:00,,,1191499,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,22,12:10,VGK,54,Vegas Golden Knights,517
13680633,0,00:49,14:43,,,1191515,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,23,13:54,VGK,54,Vegas Golden Knights,517
13680700,0,03:15,19:54,,,1191549,Alex,2023020573,#B9975B,Pietrangelo,3,8474565,24,16:39,VGK,54,Vegas Golden Knights,517
13679998,0,00:36,01:50,,,162,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,1,01:14,SEA,55,Seattle Kraken,517
13679999,0,00:32,04:09,,,197,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,2,03:37,SEA,55,Seattle Kraken,517
13680062,0,00:50,07:04,,,232,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,3,06:14,SEA,55,Seattle Kraken,517
13680063,0,00:50,09:33,,,308,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,4,08:43,SEA,55,Seattle Kraken,517
13680152,0,00:17,12:49,,,338,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,5,12:32,SEA,55,Seattle Kraken,517
13680153,0,00:52,14:31,,,403,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,6,13:39,SEA,55,Seattle Kraken,517
13680154,0,00:57,16:48,,,424,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,7,15:51,SEA,55,Seattle Kraken,517
13680228,0,00:36,19:00,,,506,Jordan,2023020573,#9CDBD9,Eberle,1,8474586,8,18:24,SEA,55,Seattle Kraken,517
13680284,0,00:43,01:27,,,535,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,9,00:44,SEA,55,Seattle Kraken,517
13680285,0,00:47,05:10,,,574,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,10,04:23,SEA,55,Seattle Kraken,517
13680376,0,01:07,09:07,,,1191099,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,11,08:00,SEA,55,Seattle Kraken,517
13680377,0,01:08,13:24,,,1191135,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,12,12:16,SEA,55,Seattle Kraken,517
13680434,0,00:32,16:14,,,1191168,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,13,15:42,SEA,55,Seattle Kraken,517
13680435,0,00:44,20:00,,,1191256,Jordan,2023020573,#9CDBD9,Eberle,2,8474586,14,19:16,SEA,55,Seattle Kraken,517
13680505,0,00:51,01:39,,,1191272,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,15,00:48,SEA,55,Seattle Kraken,517
13680540,0,00:43,04:35,,,1191309,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,16,03:52,SEA,55,Seattle Kraken,517
13680541,0,00:54,08:42,,,1191400,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,17,07:48,SEA,55,Seattle Kraken,517
13680634,0,01:01,12:10,,,1191488,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,18,11:09,SEA,55,Seattle Kraken,517
13680635,0,00:54,13:54,,,1191508,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,19,13:00,SEA,55,Seattle Kraken,517
13680701,0,01:07,16:35,,,1191531,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,20,15:28,SEA,55,Seattle Kraken,517
13680702,0,00:06,20:00,,,1191575,Jordan,2023020573,#9CDBD9,Eberle,3,8474586,21,19:54,SEA,55,Seattle Kraken,517
13680000,0,00:39,02:11,,,167,Justin,2023020573,#9CDBD9,Schultz,1,8474602,1,01:32,SEA,55,Seattle Kraken,517
13680001,0,00:25,04:12,,,202,Justin,2023020573,#9CDBD9,Schultz,1,8474602,2,03:47,SEA,55,Seattle Kraken,517
13680064,0,00:45,05:35,,,221,Justin,2023020573,#9CDBD9,Schultz,1,8474602,3,04:50,SEA,55,Seattle Kraken,517
13680065,0,00:39,07:43,,,242,Justin,2023020573,#9CDBD9,Schultz,1,8474602,4,07:04,SEA,55,Seattle Kraken,517
13680066,0,00:32,10:05,,,315,Justin,2023020573,#9CDBD9,Schultz,1,8474602,5,09:33,SEA,55,Seattle Kraken,517
13680155,0,00:46,11:29,,,324,Justin,2023020573,#9CDBD9,Schultz,1,8474602,6,10:43,SEA,55,Seattle Kraken,517
13680156,0,00:44,15:16,,,413,Justin,2023020573,#9CDBD9,Schultz,1,8474602,7,14:32,SEA,55,Seattle Kraken,517
13680229,0,00:40,17:28,,,437,Justin,2023020573,#9CDBD9,Schultz,1,8474602,8,16:48,SEA,55,Seattle Kraken,517
13680230,0,00:33,20:00,,,521,Justin,2023020573,#9CDBD9,Schultz,1,8474602,9,19:27,SEA,55,Seattle Kraken,517
13680286,0,00:37,02:07,,,545,Justin,2023020573,#9CDBD9,Schultz,2,8474602,10,01:30,SEA,55,Seattle Kraken,517
13680287,0,01:12,06:06,,,578,Justin,2023020573,#9CDBD9,Schultz,2,8474602,11,04:54,SEA,55,Seattle Kraken,517
13680378,0,00:49,09:56,,,1191109,Justin,2023020573,#9CDBD9,Schultz,2,8474602,12,09:07,SEA,55,Seattle Kraken,517
13680379,0,00:30,13:02,,,1191138,Justin,2023020573,#9CDBD9,Schultz,2,8474602,13,12:32,SEA,55,Seattle Kraken,517
13680436,0,00:23,16:14,,,1191169,Justin,2023020573,#9CDBD9,Schultz,2,8474602,14,15:51,SEA,55,Seattle Kraken,517
13680437,0,00:49,20:00,,,1191249,Justin,2023020573,#9CDBD9,Schultz,2,8474602,15,19:11,SEA,55,Seattle Kraken,517
13680542,0,00:48,02:58,,,1191288,Justin,2023020573,#9CDBD9,Schultz,3,8474602,16,02:10,SEA,55,Seattle Kraken,517
13680543,0,00:46,05:41,,,1191320,Justin,2023020573,#9CDBD9,Schultz,3,8474602,17,04:55,SEA,55,Seattle Kraken,517
13680544,0,00:27,08:18,,,1191403,Justin,2023020573,#9CDBD9,Schultz,3,8474602,18,07:51,SEA,55,Seattle Kraken,517
13680636,0,00:30,11:09,,,1191429,Justin,2023020573,#9CDBD9,Schultz,3,8474602,19,10:39,SEA,55,Seattle Kraken,517
13680637,0,00:49,13:49,,,1191508,Justin,2023020573,#9CDBD9,Schultz,3,8474602,20,13:00,SEA,55,Seattle Kraken,517
13680703,0,00:06,20:00,,,1191575,Justin,2023020573,#9CDBD9,Schultz,3,8474602,21,19:54,SEA,55,Seattle Kraken,517
13680002,0,00:42,01:23,,,155,Brayden,2023020573,#B9975B,McNabb,1,8475188,1,00:41,VGK,54,Vegas Golden Knights,517
13680003,0,00:35,03:48,,,194,Brayden,2023020573,#B9975B,McNabb,1,8475188,2,03:13,VGK,54,Vegas Golden Knights,517
13680067,0,00:42,05:32,,,220,Brayden,2023020573,#B9975B,McNabb,1,8475188,3,04:50,VGK,54,Vegas Golden Knights,517
13680068,0,00:34,07:36,,,238,Brayden,2023020573,#B9975B,McNabb,1,8475188,4,07:02,VGK,54,Vegas Golden Knights,517
13680069,0,00:35,09:18,,,307,Brayden,2023020573,#B9975B,McNabb,1,8475188,5,08:43,VGK,54,Vegas Golden Knights,517
13680157,0,01:05,12:36,,,333,Brayden,2023020573,#B9975B,McNabb,1,8475188,6,11:31,VGK,54,Vegas Golden Knights,517
