ENTITYID,COORDSX,COORDSY,COORDSZ,VELX,VELY,VELZ,ACCELX,ACCELY,ACCELZ,CLOCKSTATE,TIME,TEAM,JERSEYNUM
1004,59.49557663571231,32.82910000526477,4.689220693932954,0.04351019856714026,-0.06857386660670692,-0.04852685393325179,0.5904944690060833,1.263501304820595,-0.3434358277789799,ClockStateStopped,0.0,A,4
1001,66.83485886761221,22.473584035957,3.533171824411676,0.35164646169162755,0.24538358530187843,-1.0567209487142548,9.788270512143868,5.759020213598807,1.5265835386865585,ClockStateStopped,0.007999897003173828,A,1
2005,86.12263441700591,3.344531200482333,5.370552906847379,0.3985641573979451,0.16101025518578752,-0.23861091536406295,-2.4477330393825723,4.991777285607188,0.04708530505893105,ClockStateStopped,0.016000032424926758,B,5
2003,71.18123356698632,33.7617679996387,4.034452787737936,0.03952853168736958,-0.3303462322056189,-0.07032736755774269,0.6391580031464384,1.709521950138039,-0.5055043377532142,ClockStateStopped,0.023999929428100586,B,3
1002,32.74865636153285,6.136319438522822,4.090764666557725,-0.7884455533554342,-0.30599473617549605,-0.18291060714843155,0.6490854974202641,-0.26260762898837886,-2.373496859900294,ClockStateStopped,0.032000064849853516,A,2
2002,69.93842082695973,21.919096634129154,3.3936877217944823,-0.4568100795865752,-0.8516429476966295,-0.5364971786425682,0.19917990824612297,0.3075061927576541,-6.266879482714335,ClockStateStopped,0.039999961853027344,B,2
1005,57.928371888988174,11.293675182164488,4.145324224929823,1.0903467788941235,0.9649530427363411,-1.3762407255583733,0.8188487157083341,2.391227983423708,-13.207958480297137,ClockStateStopped,0.04399991035461426,A,5
2004,74.7886659142684,7.538994035576026,4.0752246380031805,0.008599806011773263,0.02546095007286932,0.2915881153264395,0.08318525868970836,-0.6480116293428423,-0.008281820580988496,ClockStateStopped,0.04800009727478027,B,4
2001,71.83031645728556,7.375041638294595,4.274996989155292,-0.3261176930039259,0.2880918505121013,0.16942698897577232,-0.03079528581883138,-0.3001655004672709,2.7867115669616265,ClockStateStopped,0.0559999942779541,B,1
1003,66.33437729896679,7.610650782999541,4.168375480206182,0.49089301143162906,0.12621030604110067,-0.09731202958854707,0.5612523988842034,-0.18304796552643032,-2.2565326234185776,ClockStateStopped,0.06400012969970703,A,3
2006,70.45738025859266,2.902882697686887,4.052861444874948,-0.18542067057139472,0.26775727899400503,-0.01643457629678741,-1.3545222720440655,-2.652881480649616,-0.3034631494583391,ClockStateStopped,0.07999992370605469,B,6
1004,59.493323746632896,32.82857224006518,4.691046879235335,-0.025600995064593048,-0.005997327783905444,0.020752091765399872,-0.7853539454031399,0.7110965542866048,0.787260217610011,ClockStateStopped,0.08800005912780762,A,4
1001,66.84609935600069,22.470184716283608,3.4298638824663787,0.12773273677186361,-0.03862860669735071,-1.1739530969548237,-2.5444724371669,-3.227409104200051,-1.3321826076310455,ClockStateStopped,0.09599995613098145,A,1
2005,86.10064344171657,3.361385058522056,5.360053265857077,-0.2498972785620824,0.19152098540348952,-0.11931402199460733,-7.368875002893227,0.34671261042438045,1.3556456046943535,ClockStateStopped,0.10400009155273438,B,5
2003,71.18403316536785,33.73456363013281,4.043146761052999,0.033328508268117334,-0.3238611152185372,0.10349954601547208,-0.07380970540432717,0.07720367198013328,2.0693652934184894,ClockStateStopped,0.10800004005432129,B,3
1002,32.67997794705773,6.106507385881105,4.084287485011833,-0.780436003746057,-0.33877309785006743,-0.07360428629353884,0.0910175480421488,-0.37248113239293906,1.2421164478553448,ClockStateStopped,0.12000012397766113,A,2
